               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.016256,           0.0083216,           0.0021683,             0.88092,             0.85909,             0.96789,             0.67965,            0.028508,           0.0045897,            0.025594,            0.007756,            0.007756,            0.007756
                  70,             0.01621,            0.008457,           0.0031014,             0.87242,             0.86054,             0.96443,              0.6792,            0.028634,            0.004526,            0.026744,            0.007723,            0.007723,            0.007723
                  71,            0.016364,           0.0083192,           0.0031991,             0.89193,             0.83583,             0.95876,             0.66656,            0.029249,           0.0045878,            0.027099,             0.00769,             0.00769,             0.00769
                  72,            0.016074,           0.0083359,           0.0023371,              0.8913,             0.83424,              0.9477,             0.65855,            0.029487,           0.0045092,             0.03117,            0.007657,            0.007657,            0.007657
                  73,            0.016073,           0.0083498,           0.0025564,             0.90651,             0.80076,             0.95052,             0.65818,            0.029808,           0.0045074,            0.028979,            0.007624,            0.007624,            0.007624
                  74,            0.015354,           0.0081594,            0.002229,             0.91561,             0.80154,             0.95231,             0.66689,            0.029058,           0.0044815,            0.028642,            0.007591,            0.007591,            0.007591
                  75,            0.016055,           0.0083298,            0.002421,             0.90765,             0.82118,             0.95385,             0.66863,            0.028907,           0.0045171,            0.030362,            0.007558,            0.007558,            0.007558
                  76,            0.015727,           0.0082104,            0.002737,             0.87646,             0.85007,             0.95032,             0.66822,            0.028381,           0.0045442,            0.028314,            0.007525,            0.007525,            0.007525
                  77,            0.015925,           0.0082828,           0.0023295,             0.91306,              0.8259,             0.94861,             0.66618,            0.028203,           0.0045317,            0.028839,            0.007492,            0.007492,            0.007492
                  78,            0.015532,           0.0081703,           0.0025844,             0.89416,             0.83212,             0.94833,             0.66632,            0.028397,           0.0045257,            0.030772,            0.007459,            0.007459,            0.007459
                  79,            0.015614,           0.0082153,            0.002542,             0.89099,             0.83057,             0.94891,             0.66592,            0.028165,           0.0045216,            0.028727,            0.007426,            0.007426,            0.007426
                  80,            0.015372,           0.0081791,           0.0024294,             0.89615,             0.82954,             0.95087,             0.66858,            0.028078,           0.0045114,            0.030211,            0.007393,            0.007393,            0.007393
                  81,            0.015721,           0.0083542,           0.0027535,             0.90518,             0.82008,             0.95616,             0.67065,            0.028434,           0.0045505,             0.02992,             0.00736,             0.00736,             0.00736
                  82,            0.015805,           0.0083488,           0.0025698,              0.8761,             0.84694,             0.94545,             0.66366,             0.02849,           0.0045706,            0.028882,            0.007327,            0.007327,            0.007327
                  83,            0.015433,           0.0081239,           0.0020352,             0.87857,             0.85865,             0.94981,             0.66335,            0.028477,           0.0045766,            0.026956,            0.007294,            0.007294,            0.007294
                  84,            0.015732,           0.0081974,            0.002817,             0.91743,             0.82893,             0.95334,             0.66872,            0.028099,           0.0045479,             0.02505,            0.007261,            0.007261,            0.007261
                  85,            0.015626,           0.0082506,           0.0031044,             0.87916,             0.87012,             0.95774,             0.66873,            0.028149,           0.0045613,            0.024075,            0.007228,            0.007228,            0.007228
                  86,            0.016139,            0.008203,           0.0022654,             0.87986,             0.86812,             0.95836,             0.66742,             0.02854,           0.0045554,            0.025059,            0.007195,            0.007195,            0.007195
                  87,            0.015676,           0.0081907,           0.0024962,             0.87373,             0.86125,             0.95394,             0.66405,            0.029105,           0.0045538,            0.026565,            0.007162,            0.007162,            0.007162
                  88,            0.015696,           0.0082497,           0.0024549,             0.86428,             0.87086,             0.94907,             0.65871,            0.029432,           0.0045657,            0.025766,            0.007129,            0.007129,            0.007129
                  89,            0.015804,           0.0081368,           0.0025601,             0.86425,             0.86944,             0.94708,             0.66056,            0.029357,           0.0045589,            0.025713,            0.007096,            0.007096,            0.007096
                  90,            0.015628,           0.0081077,           0.0021563,             0.89921,              0.8247,             0.94332,             0.65919,            0.029302,           0.0045706,            0.027885,            0.007063,            0.007063,            0.007063
                  91,            0.015698,           0.0080485,           0.0021952,             0.88018,             0.84674,             0.94702,             0.66195,            0.028782,           0.0045641,            0.027469,             0.00703,             0.00703,             0.00703
                  92,            0.015402,           0.0079954,           0.0018294,              0.8857,             0.84045,             0.94791,             0.66336,            0.028609,           0.0045637,            0.027905,            0.006997,            0.006997,            0.006997
                  93,            0.015447,           0.0080067,           0.0020334,             0.90549,              0.8131,              0.9489,              0.6648,            0.028669,           0.0045721,            0.028025,            0.006964,            0.006964,            0.006964
                  94,            0.015426,           0.0081291,           0.0025843,             0.90557,             0.82826,             0.95262,             0.66771,            0.028852,           0.0045716,            0.028356,            0.006931,            0.006931,            0.006931
                  95,            0.015241,           0.0081476,           0.0024214,             0.90826,             0.82169,             0.95362,             0.66812,            0.028843,           0.0045824,            0.028863,            0.006898,            0.006898,            0.006898
                  96,            0.015733,           0.0082052,           0.0026288,             0.91053,             0.82273,             0.95414,             0.66897,            0.028894,           0.0045942,            0.028224,            0.006865,            0.006865,            0.006865
                  97,            0.015249,           0.0081789,           0.0026716,             0.91139,               0.825,             0.95802,             0.67384,            0.028708,           0.0045664,            0.028414,            0.006832,            0.006832,            0.006832
                  98,            0.015345,           0.0081666,           0.0024764,             0.91698,             0.82728,             0.95775,             0.67489,            0.028493,           0.0045589,            0.028135,            0.006799,            0.006799,            0.006799
                  99,            0.015634,           0.0081471,            0.002553,             0.91512,              0.8303,             0.96194,             0.67829,            0.028175,           0.0045572,            0.026981,            0.006766,            0.006766,            0.006766
                 100,            0.015871,           0.0080179,           0.0022789,              0.9169,             0.83263,             0.96477,             0.68182,            0.028035,           0.0045475,            0.026108,            0.006733,            0.006733,            0.006733
                 101,            0.015553,           0.0082065,           0.0022748,             0.91406,             0.83555,             0.96429,             0.68283,            0.027903,           0.0045343,            0.026107,              0.0067,              0.0067,              0.0067
                 102,             0.01548,           0.0080208,           0.0024436,             0.91296,               0.835,             0.96159,             0.68131,            0.027792,           0.0045195,            0.026459,            0.006667,            0.006667,            0.006667
                 103,            0.015451,            0.008059,           0.0019319,             0.90931,             0.82885,             0.95903,             0.68128,            0.027671,           0.0045107,             0.02782,            0.006634,            0.006634,            0.006634
                 104,            0.015214,           0.0079667,           0.0019294,             0.90712,             0.82714,             0.95832,             0.68196,            0.027646,           0.0045034,            0.028108,            0.006601,            0.006601,            0.006601
                 105,            0.015778,           0.0080323,           0.0020568,             0.90881,             0.82628,             0.95858,             0.68199,            0.027597,           0.0044958,            0.028415,            0.006568,            0.006568,            0.006568
                 106,            0.015734,           0.0079861,           0.0023814,             0.90891,             0.82871,             0.96075,             0.68327,            0.027469,           0.0044954,            0.028175,            0.006535,            0.006535,            0.006535
                 107,             0.01506,           0.0078923,           0.0020563,             0.91104,             0.83099,             0.96252,             0.68437,            0.027574,           0.0045018,            0.027869,            0.006502,            0.006502,            0.006502
                 108,            0.015279,           0.0080492,           0.0022124,             0.91327,             0.83098,             0.96466,             0.68581,             0.02757,           0.0045014,            0.027465,            0.006469,            0.006469,            0.006469
                 109,            0.015534,           0.0080171,           0.0020453,             0.91375,             0.83191,             0.96646,             0.68717,            0.027516,           0.0045026,             0.02678,            0.006436,            0.006436,            0.006436
                 110,             0.01522,           0.0080896,           0.0025242,             0.91078,             0.83267,               0.966,             0.68635,            0.027551,           0.0045042,            0.026839,            0.006403,            0.006403,            0.006403
                 111,            0.015305,           0.0081484,           0.0029079,             0.91065,             0.83417,             0.96605,             0.68568,            0.027598,           0.0045038,            0.027083,             0.00637,             0.00637,             0.00637
                 112,            0.015489,           0.0081393,           0.0022741,             0.90959,             0.83797,             0.96641,             0.68656,            0.027616,           0.0044984,            0.027141,            0.006337,            0.006337,            0.006337
                 113,            0.015224,           0.0080911,           0.0029507,             0.90889,             0.83741,             0.96609,             0.68662,            0.027695,           0.0044993,            0.026927,            0.006304,            0.006304,            0.006304
                 114,            0.015518,           0.0081152,           0.0025039,             0.90798,             0.83583,             0.96559,             0.68478,            0.027831,           0.0045073,            0.027086,            0.006271,            0.006271,            0.006271
                 115,             0.01541,           0.0081171,           0.0025958,             0.91148,             0.83324,             0.96527,             0.68469,            0.027941,           0.0045111,            0.026481,            0.006238,            0.006238,            0.006238
                 116,            0.014994,           0.0078742,           0.0015687,             0.91115,             0.83322,             0.96665,             0.68437,            0.027984,           0.0045128,            0.026131,            0.006205,            0.006205,            0.006205
                 117,            0.014669,           0.0078802,           0.0019051,             0.90571,             0.83463,             0.96616,             0.68369,            0.028091,           0.0045138,            0.026141,            0.006172,            0.006172,            0.006172
                 118,            0.014812,           0.0080221,           0.0022429,             0.90744,             0.83289,             0.96413,             0.68284,            0.028142,           0.0045143,            0.026269,            0.006139,            0.006139,            0.006139
                 119,            0.015227,           0.0079909,           0.0021052,             0.90702,             0.83291,             0.96419,             0.68335,            0.028155,           0.0045168,            0.026124,            0.006106,            0.006106,            0.006106
                 120,            0.015073,           0.0081416,           0.0026004,              0.9059,             0.83438,             0.96416,             0.68351,            0.028104,            0.004514,            0.026186,            0.006073,            0.006073,            0.006073
                 121,             0.01516,           0.0079732,           0.0026343,             0.90532,             0.83477,             0.96555,             0.68438,            0.028022,           0.0045135,            0.026241,             0.00604,             0.00604,             0.00604
                 122,             0.01469,           0.0080456,           0.0020759,             0.90675,             0.83553,             0.96575,             0.68465,            0.028023,            0.004515,            0.026216,            0.006007,            0.006007,            0.006007
                 123,            0.014388,           0.0078048,           0.0019375,             0.90585,             0.83684,             0.96536,             0.68387,            0.027977,           0.0045197,            0.026369,            0.005974,            0.005974,            0.005974
                 124,            0.014656,           0.0080198,           0.0024646,             0.90477,             0.83606,             0.96472,             0.68331,            0.027935,           0.0045192,            0.026622,            0.005941,            0.005941,            0.005941
                 125,            0.014693,           0.0079237,           0.0019083,             0.90419,             0.83662,             0.96452,             0.68254,            0.027952,            0.004518,            0.026753,            0.005908,            0.005908,            0.005908
                 126,            0.014427,           0.0080018,            0.002229,             0.90385,             0.83623,             0.96392,             0.68258,            0.027914,           0.0045181,              0.0271,            0.005875,            0.005875,            0.005875
                 127,            0.014495,           0.0078963,           0.0021396,             0.90427,             0.83615,             0.96358,             0.68331,            0.027908,           0.0045201,            0.027178,            0.005842,            0.005842,            0.005842
                 128,            0.014836,           0.0079165,           0.0023978,             0.90357,             0.83572,             0.96347,             0.68237,            0.027912,           0.0045225,            0.027318,            0.005809,            0.005809,            0.005809
                 129,            0.015091,           0.0079647,           0.0024402,             0.90066,              0.8344,             0.96262,             0.68195,            0.027909,           0.0045242,            0.027489,            0.005776,            0.005776,            0.005776
                 130,            0.014952,           0.0079085,           0.0019005,             0.90279,             0.83441,             0.96225,             0.68142,             0.02795,           0.0045278,            0.027564,            0.005743,            0.005743,            0.005743
                 131,            0.014654,           0.0077836,           0.0018708,              0.9053,             0.83241,             0.96198,             0.68056,            0.027998,           0.0045318,            0.027717,             0.00571,             0.00571,             0.00571
